ID,BUILDING_DEPARTMENT,TYPE,DEPARTMENT_NAME,AND_DEPARTMENT_NAME,MATCH_GCC,Notes,BD_STAFF_COUNT,BD_STAFF_POS,BD_STAFF_TOTAL_WAGES,EmployerPopulation,EmployerCounty
CIT.001,ADELANTO,CITY,Planning,,Yes,,1,Development Services Coordinator,101913.0,37150.0,San Bernardino
CIT.002,AGOURA HILLS,CITY,Community Development ,Building & Safety,Yes,,10,"Building Official, Counter Permit Technician, Associate Planner, Associate Planner, Associate Planner, Community Development Director, Land Use Technician, Principal Planner, Senior Code Compliance Officer, Senior Planner",1110924.0,19904.0,Los Angeles
CIT.003,ALAMEDA,CITY,"Planning, Building & Transportation",,Yes,,42,"Administrative Assistant I, Administrative Assistant I, Administrative Assistant I, Administrative Assistant II, Administrative Services Coordinator, Administrative Specialist I, Administrative Specialist II, Administrative Specialist III, Administrative Technician I, Building Official, Code Enforcement Officer, Combination Bldg. Inspector I, Combination Bldg. Inspector I, Combination Bldg. Inspector II, Combination Bldg. Inspector II, Combination Bldg. Inspector II, Executive Assistant, Info Tech Systems Analyst, Pabst Director, Pabst Director, Permit Technician I, Permit Technician I, Permit Technician I, Permit Technician II, Permit Technician III, Permit Technician III, Plan Check Engineer, Planner II, Planner II, Planner II, Planner II, Planner III, Planning Services Manager, Recreation Leader, Senior Code Enforcement Officer, Senior Combination Bldg. Insp, Senior Combination Bldg. Insp, Senior Management Analyst, Senior Transpiration Coordinator, Supervising Building Inspector, Sustainability & Resilience Manager, Transportation Planning Manage",3670131.0,79020.0,Alameda
CIT.004,ALBANY,CITY,Community Development,,Yes,,13,"Associate Planner, Associate Planner, Associate Planner Intern, Associate Transportation Planner, Building Inspector II, Building Inspector II, Community Development Director, Community Development Technician, Intern, Intern, Management Analyst, Planning Manager, Planning Manager",1231468.0,20578.0,Alameda
CIT.005,ALHAMBRA,CITY,Community Development,Community Development - Temporary,Yes,,17,"Assistant Planner, Assistant Planner, Clerical Assistant II, Deputy Director Of Community Development, Director Of Community Development, Economic Development Specialist, Executive Assistant, Executive Assistant, Planning Technician, Principal Planner, Senior Planner, Senior Planner, Clerical Assistant I, Intern, Intern, Intern, Intern",1029435.0,82374.0,Los Angeles
CIT.006,ALISO VIEJO,CITY,Building,Planning,Yes,,5,"Permit Technician, Permit Technician, Assistant Planner, Director Of Community Development, Senior Planner",719986.0,50213.0,Orange
CIT.007,ALTURAS,CITY,,,Yes,Maybe part of Public Works,0,,,,
CIT.008,AMADOR,CITY,,,Yes,Does not have dedicated Building Department clearly,0,,,,
CIT.009,AMERICAN CANYON,CITY,Community Development,,Yes,,6,"Administrative Technician, Code Enforcement Officer, Community Development Director, Office Assistant, Permit Technician, Senior Planner",700544.0,22396.0,Napa
CIT.010,ANAHEIM,CITY,Planning,,Yes,,116,"Accountant, Accounting Technician, Accounting Technician, Administrative Assistant, Assistant Building Official, Assistant Planner, Associate Planner, Associate Planner, Associate Planner, Building Inspection Manager, Building Inspection Supervisor, Building Inspection Supervisor, Building Inspector I, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector III, Building Inspector III, Building Inspector III, Building Inspector III, Building Official, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Community Preservation Supervisor, Community Preservation Supervisor, Community Preservation Supervisor, Departmental Records Coordinator, Licensing Specialist, Licensing Specialist, Licensing Specialist, Office Specialist II, Permit Counter Supervisor, Permit Technician I, Permit Technician I, Permit Technician II, Plan Check Coordinator I, Plan Check Coordinator II, Plan Check Coordinator II, Plan Check Coordinator II, Planner, Planning And Building Director, Plans Examiner I, Plans Examiner II, Plans Examiner II, Principal Planner, Principal Planner, Principal Planner, Principal Planner, PT Accounting Specialist, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer I, PT Code Enforcement Officer II, PT Intermediate Clerk, PT Intermediate Clerk, PT Intermediate Clerk, PT Licensing Specialist, PT Licensing Specialist, PT Management Assistant I, PT Management Assistant II, PT Permit Technician I, PT Permit Technician I, PT Permit Technician I, PT Permit Technician II, PT Planning Aide, PT Senior Planner, PT Senior Planner, Revenue And Licensing Supervisor, Senior Code Enforcement Officer, Senior Code Enforcement Officer, Senior Code Enforcement Officer, Senior Code Enforcement Officer, Senior Planner, Senior Planner, Senior Planner, Senior Planner, Senior Secretary, Senior Secretary, Senior Secretary, Senior Secretary, Sr Code Enforcement Officer, Staff Analyst",9287844.0,341773.0,Orange
CIT.011,ANDERSON,CITY,Building Division,Planning,Caveat,2 permit tech in planning and most in building department,5,,,,
CIT.012,ANGELS CAMP,CITY,Building,,Yes,,0,,,,
CIT.013,ANTIOCH,CITY,Community Development,,Yes,,25,"Administrative Analyst I, Assistant Community Dev Tech, Assistant Community Dev Tech, Assistant Community Dev Tech, Assistant Planner, Associate Community Dev Tech, Associate Community Dev Tech, Associate Planner, Building Inspection Services Mgr., Building Inspector I W/ Cert, Building Inspector I W/ Cert, Building Inspector II W/ Cert, Code Enforcement Manager, Code Enforcement Officer W/Cert, Code Enforcement Officer W/Cert, Code Enforcement Officer W/Cert, Code Enforcement Officer W/Cert, Code Enforcement Officer W/Cert, Code Enforcement Officer W/Cert, Comm Dev Tech Senior Lvl, Comm Dev Tech Senior Lvl, Planning Manager, Senior Bldg. Inspector W/ Cert, Senior Community Dev Tech, Senior Planner",2765662.0,116781.0,Contra Costa
CIT.015,ARCADIA,CITY,Development Services,,Yes,,31,"Admin Intern, Administrative Assistant, Administrative Assistant, Administrative Assistant, Assistant City Manager/Dsd Director, Assistant Engineer, Assistant Engineer, Assistant Planner, Associate Planner, Building Inspector, Building Official, Building Technician, Business License Officer, City Engineer, Code Service Officer, Code Services Supervisor, Deputy Development Services Director, Economic Development Manager, Management Analyst, Planning Svc Manager, Plans Examiner, Principal Civil Engineer, Senior Building Inspector, Senior Building Inspector, Senior Building Technician, Senior Code Services Officer, Senior Planner, Senior Planner, Sr Admin Asst, Sr Admin Asst, Transport Services Manager",3073056.0,56116.0,Los Angeles
CIT.016,ARCATA,CITY,Public Works Administration,,Yes,,19,"Administrative Aide, Administrative Specialist, Assistant City Engineer, Building Inspector, Building Inspector/Code Compliance Assistant, Building Official, City Engineer, Engineering Aide, Engineering Techncian I, Engineering Techncian I, Engineering Techncian II, Engineering Techncian II, Permit & Code Compliance Technician, Professional Expert, Professional Expert, Project and Grant Manager, Senior Project Manager, Senior Project Manager, Transit Operations Assistant",1029629.0,19001.0,Humboldt
CIT.017,ARROYO GRANDE,CITY,Community Development,,Yes,,9,"Assistant Planner, Associate Planner, Building Permit Technician, Comm Development Intern - Typist, Community Services Specialist, Director Of Comm Develop, Office Assistant I - CD Typist, Planning Manager, Planning/Engineering Permit Technician",718054.0,17910.0,San Luis Obispo
CIT.018,ARTESIA,CITY,Community Development,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.019,ARVIN,CITY,Building,,Yes,,4,"Building Inspector, Engineer, Permit Technician, Planner",293508.0,19991.0,Kern
