Object ID,Land Area (Square Meters),ALANDHIST,Water Area (Square Meters),AWATERHIST,ZIP Code Tabulation Area FIPS Class Code,EFFDATE,ESTABDATE,Functional Status,Geographic Identifier,Legal/Statistical Area Description Code,MAF/TIGER Feature Class Code,Base Name,Name,OID,Vintage,Zip Code Tabulation Area Code,Decennial Housing Count,Decennial Population Count (100%),Centroid Longitude,Centroid Latitude,Internal Point Longitude,Internal Point Latitude,STGEOMETRY_AREA,STGEOMETRY_LEN,Shape__Area,Shape__Length
1,8614591,8592369,0,0,B5,,,S,95126,Z5,G6350,95126,ZCTA5 95126,221704258477034,70,95126,16858,37372,-121.9167787,+37.3269219,-121.9167787,+37.3269219,13648041.9814251,26936.8556271722,0.000875785891366831,0.215334852860125
2,9717095,9717095,5673,5673,B5,,,S,90602,Z5,G6350,90602,ZCTA5 90602,221704258471808,70,90602,8536,25521,-118.0233672,+33.9731812,-118.0223302,+33.9742425,14173148.4318661,29194.3441060189,0.000948495292959706,0.242006093453039
3,3726998,3726998,0,0,B5,,,S,95130,Z5,G6350,95130,ZCTA5 95130,221704258477042,70,95130,4984,13584,-121.9814461,+37.2880560,-121.9862380,+37.2776760,5898621.23769788,23096.2217643565,0.000378706523406436,0.188155083602389
4,58099918,58099919,119350,119350,B5,,,S,95035,Z5,G6350,95035,ZCTA5 95035,221704258476975,70,95035,25250,80440,-121.8763334,+37.4431960,-121.8746930,+37.4403973,92520686.4667274,45978.3521720673,0.00592779350472483,0.374960454138589
5,21494836,21494836,1549909,1549909,B5,,,S,92657,Z5,G6350,92657,ZCTA5 92657,221704258475779,70,92657,4456,10294,-117.8320783,+33.5943658,-117.8291306,+33.5950576,33300011.4563521,34506.4882959346,0.00223838513397823,0.285264121941148
6,19184264,19184071,62530,62530,B5,,,S,92704,Z5,G6350,92704,ZCTA5 92704,221704258475846,70,92704,20730,82841,-117.9080548,+33.7203524,-117.9051096,+33.7211311,27892566.6527998,35955.7796535601,0.00187215789583206,0.29563611997592
7,8351657,8351656,0,0,B5,,,S,92701,Z5,G6350,92701,ZCTA5 92701,221704258475839,70,92701,13020,48789,-117.8587143,+33.7486219,-117.8587143,+33.7486219,12111186.5351572,22673.3355416415,0.000812638925026476,0.186110285662006
8,421086,421086,62414,62414,B5,,,S,92697,Z5,G6350,92697,ZCTA5 92697,2217026265990867,70,92697,0,0,-117.8508549,+33.6505901,-117.8490847,+33.6497270,699568.37018084,5505.98277186402,4.69933747808682E-05,0.046562992043565
9,39127972,39127972,237832,237832,B5,,,S,92602,Z5,G6350,92602,ZCTA5 92602,221704258475704,70,92602,10653,29581,-117.7287137,+33.7264948,-117.7349328,+33.7364976,57057272.2894264,49276.4368176467,0.00382942700889544,0.403353503206903
10,7696621,7696621,88656,88656,B5,,,S,90249,Z5,G6350,90249,ZCTA5 90249,221704258471021,70,90249,9529,27125,-118.3170646,+33.9015151,-118.3156967,+33.9013900,11329919.5066103,16668.9802478924,0.000758859172265147,0.136911817040783
11,8687482,8687482,0,0,B5,,,S,94128,Z5,G6350,94128,ZCTA5 94128,221704258476645,70,94128,2,2,-122.3837971,+37.6219551,-122.3837971,+37.6219551,13871710.258411,21660.0779074629,0.00088663193218963,0.175295486383363
12,14982262,14982262,137288,137288,B5,,,S,90746,Z5,G6350,90746,ZCTA5 90746,221704258472247,70,90746,8627,27147,-118.2551634,+33.8585119,-118.2523119,+33.8592309,21981528.2317871,25020.6562825422,0.00147302838445285,0.203226025299733
13,15155933,15155933,29696,29696,B5,,,S,90505,Z5,G6350,90505,ZCTA5 90505,221704258471773,70,90505,14927,36643,-118.3477571,+33.8090206,-118.3479566,+33.8078823,22052274.4265656,28058.9220784606,0.00147862538869958,0.230114412085976
14,25178176,25175006,0,0,B5,,,S,92683,Z5,G6350,92683,ZCTA5 92683,221704258475824,70,92683,27916,90946,-117.9938698,+33.7524276,-117.9938698,+33.7524276,36515414.5028065,55582.841817004,0.00245001016332935,0.462487342152567
15,20850754,20850754,711094,711094,B5,,,S,92646,Z5,G6350,92646,ZCTA5 92646,221704258475751,70,92646,22344,56788,-117.9673835,+33.6642932,-117.9679484,+33.6610291,31207220.404699,29769.8066854555,0.00209600595917436,0.23925680109837
16,15340898,15340898,28358,28358,B5,,,S,91343,Z5,G6350,91343,ZCTA5 91343,221704258472869,70,91343,18545,62595,-118.4807552,+34.2383807,-118.4822956,+34.2388019,22543819.4652584,20835.4057286664,0.00150395566083716,0.171849365251658
17,4135301,4135301,0,0,B5,,,S,94963,Z5,G6350,94963,ZCTA5 94963,221704258476933,70,94963,207,506,-122.6647483,+38.0076100,-122.6647483,+38.0076100,6671793.28137176,16673.8305231335,0.00042421617627042,0.136902079359808
18,6828749,6828749,498,498,B5,,,S,91601,Z5,G6350,91601,ZCTA5 91601,221704258473177,70,91601,19476,39429,-118.3722557,+34.1682712,-118.3722855,+34.1682530,10000726.9942066,17001.7852041094,0.000667729103724923,0.141036911884396
19,27292347,27292347,202929,202929,B5,,,S,92630,Z5,G6350,92630,ZCTA5 92630,221704258475747,70,92630,23447,66359,-117.6842906,+33.6470738,-117.6843122,+33.6449291,39779093.8958497,36116.7089957066,0.00267226184951141,0.297138473622318
20,15374248,15374248,102128,102128,B5,,,S,95619,Z5,G6350,95619,ZCTA5 95619,221704258477462,70,95619,2055,4816,-120.8140502,+38.6821946,-120.8142611,+38.6806051,25434762.1239802,31650.7878093361,0.00160224006322096,0.251294185735688
21,26356960,26356960,0,0,B5,,,S,92505,Z5,G6350,92505,ZCTA5 92505,221704258475579,70,92505,15474,50919,-117.4928043,+33.9266658,-117.4928043,+33.9266658,38379671.4008124,31407.3998400121,0.00256984783254666,0.257096879285137
22,101292583,101298081,8058009,8058009,B5,,,S,92571,Z5,G6350,92571,ZCTA5 92571,221704258475667,70,92571,14377,59450,-117.1952270,+33.8418286,-117.1949824,+33.8421292,158917632.220219,93138.877994257,0.0106514815076935,0.759806358125618
23,20715600,20715600,0,0,B5,,,S,92656,Z5,G6350,92656,ZCTA5 92656,221704258475776,70,92656,20943,53473,-117.7303522,+33.5752015,-117.7303522,+33.5752015,29921064.2601248,32622.0257038872,0.00201170056266164,0.260941977281077
24,13103804,13103804,3032515,3032515,B5,,,S,92629,Z5,G6350,92629,ZCTA5 92629,221704258475746,70,92629,13060,25939,-117.7055611,+33.4747958,-117.7056302,+33.4750606,23253330.8857198,23193.6545112398,0.00156522134966508,0.192691411593128
25,1851917,1851917,9272,9272,B5,,,S,92521,Z5,G6350,92521,ZCTA5 92521,2217026265990856,70,92521,11,40,-117.3272237,+33.9679054,-117.3263716,+33.9671399,2712776.57542277,12582.8604768911,0.000181555662948085,0.101984707830948
26,47688511,47688513,59055,59055,B5,,,S,92582,Z5,G6350,92582,ZCTA5 92582,221704258475670,70,92582,5572,21161,-117.0187406,+33.8049051,-117.0151631,+33.8076069,69331509.3619076,37404.3688945049,0.00464896404696447,0.309255744345556
27,9426953,9426953,476421,476421,B5,,,S,90039,Z5,G6350,90039,ZCTA5 90039,221704258469382,70,90039,12497,28059,-118.2615480,+34.1124562,-118.2610325,+34.1118846,14483480.6730315,25185.6952844477,0.00096767282525434,0.201426530954467
28,21042927,21042927,269098,269098,B5,,,S,90027,Z5,G6350,90027,ZCTA5 90027,221704258469050,70,90027,23871,44471,-118.2904963,+34.1251712,-118.2963810,+34.1276025,31177740.745868,36578.0276917032,0.00208273910084245,0.296992455237774
29,1035082,1035082,0,0,B5,,,S,90095,Z5,G6350,90095,ZCTA5 90095,221704258470187,70,90095,5,1,-118.4434044,+34.0711826,-118.4434044,+34.0711826,1512327.40284281,6343.12199459667,0.000101091160104261,0.0514267473027489
30,195260032,195260032,44762,44762,B5,,,S,95404,Z5,G6350,95404,ZCTA5 95404,221704258477262,70,95404,16438,38034,-122.6570810,+38.4648695,-122.6904432,+38.5257333,319055454.97258,202743.792684642,0.0201594499258135,1.63325834810368
31,20336072,20336072,58751,58751,B5,,,S,94806,Z5,G6350,94806,ZCTA5 94806,221704258476890,70,94806,20840,64589,-122.3361909,+37.9781155,-122.3364179,+37.9784270,32878275.6905793,37753.9208699944,0.00209135738032273,0.298208923102093
32,17201726,17201726,53301,53301,B5,,,S,91791,Z5,G6350,91791,ZCTA5 91791,221704258473745,70,91791,11444,34267,-117.8941979,+34.0612901,-117.8922352,+34.0616241,25204970.9073823,32988.9091244817,0.00168501693565304,0.272515344327186
33,4830983,4830983,0,0,B5,,,S,94805,Z5,G6350,94805,ZCTA5 94805,221704258476887,70,94805,5444,14958,-122.3235455,+37.9422094,-122.3235455,+37.9422094,7780429.99994944,18261.8586855186,0.000495148165100545,0.148802963013997
34,9915770,9916037,1295,1295,B5,,,S,92865,Z5,G6350,92865,ZCTA5 92865,221704258475927,70,92865,6879,20859,-117.8492453,+33.8288548,-117.8513073,+33.8263928,14407974.322161,17904.7886650728,0.000965842724554022,0.145991482279794
