OBJECTID,CDTFA_COUNTY,CDTFA_COPRI,CENSUS_PLACE_NAME,CENSUS_GEOID,CENSUS_PLACE_TYPE,GNIS_PLACE_NAME,GNIS_ID,CDT_COUNTY_ABBR,PRIMARY_DOMAIN,CENSUS_POPULATION,CDT_NAME_SHORT,OFFSHORE,AREA_SQMI,GlobalID
1,Alameda County,01000,Alameda County,06001,County,Alameda County,1675839,ALA,,,Alameda,,746.72208177619,db15db52-c25a-49f9-9198-d776a76623e9
2,Alpine County,02000,Alpine County,06003,County,Alpine County,1675840,ALP,,,Alpine,,743.406638139696,2d9b05da-d6ce-45aa-bdc7-0bcc653d414f
3,Amador County,03000,Amador County,06005,County,Amador County,1675841,AMA,,,Amador,,606.019047336338,98ee69f7-d62c-48cc-8b45-2059e5e21ed4
4,Butte County,04000,Butte County,06007,County,Butte County,1675842,BUT,,,Butte,,1677.81577652945,9b138eed-7cbd-4746-8667-63c675ffa3c5
5,Calaveras County,05000,Calaveras County,06009,County,Calaveras County,1675885,CAL,,,Calaveras,,1035.5465454233,1b34c080-5e04-41ac-858c-4c5f3de12cd2
6,Colusa County,06000,Colusa County,06011,County,Colusa County,1675902,COL,,,Colusa,,1156.73127311089,2b8b7bd9-9386-41e3-a65d-2a22b1f04473
7,Contra Costa County,07000,Contra Costa County,06013,County,Contra Costa County,1675903,CCA,,,Contra Costa,,747.98137256487,c47cb9f2-fbd7-4f00-a616-d90befdddd3c
8,Del Norte County,08000,Del Norte County,06015,County,Del Norte County,1682074,DNE,,,Del Norte,,1014.74036480873,a21acfec-e221-4911-a7ff-0e4cfb894c10
9,El Dorado County,09000,El Dorado County,06017,County,El Dorado County,277273,EDO,,,El Dorado,,1788.96533270595,e34bd5a2-6d6c-4bdf-bb40-1eacf6130644
10,Fresno County,10000,Fresno County,06019,County,Fresno County,277274,FRE,,,Fresno,,6012.99866815943,08b327e2-761d-427d-9775-f09024299cc0
11,Glenn County,11000,Glenn County,06021,County,Glenn County,277275,GLE,,,Glenn,,1325.9848023558,14a45d39-ce20-450e-a361-3120d9218fea
12,Humboldt County,12000,Humboldt County,06023,County,Humboldt County,1681908,HUM,,,Humboldt,,3612.1118046281,ea3ae742-4339-492f-9d30-0b13e69064d5
13,Imperial County,13000,Imperial County,06025,County,Imperial County,277277,IMP,,,Imperial,,4481.89573944921,8eccbb9e-140c-47db-8c02-144049993dcd
14,Inyo County,14000,Inyo County,06027,County,Inyo County,1804637,INY,,,Inyo,,10228.3855014651,079bd172-1fdc-493b-aaa6-f39b078d415c
15,Kern County,15000,Kern County,06029,County,Kern County,2054176,KER,,,Kern,,8165.41437930863,e794ad8b-9573-4084-a2ed-d5de75474045
16,Kings County,16000,Kings County,06031,County,Kings County,277280,KIN,,,Kings,,1391.91496284925,4164694e-6341-476d-9a0b-197c5cc6ea5a
17,Lake County,17000,Lake County,06033,County,Lake County,277281,LAK,,,Lake,,1327.87190481003,ad85d474-21e7-4b79-b25d-18cfdc5e1399
18,Lassen County,18000,Lassen County,06035,County,Lassen County,1693324,LAS,,,Lassen,,4721.23915014373,df77f338-a48a-4fb3-8e2b-14f660b6829f
19,Los Angeles County,19000,Los Angeles County,06037,County,Los Angeles County,277283,LAC,,,Los Angeles,,4088.35340817995,72d0f80c-5f4d-48d5-be9b-ab345cbc2804
20,Madera County,20000,Madera County,06039,County,Madera County,277284,MAD,,,Madera,,2152.44994102363,d70e1f5c-062f-4d50-80dd-2333b783544f
21,Marin County,21000,Marin County,06041,County,Marin County,277285,MRN,,,Marin,,530.850854035301,990ff42f-13c3-4345-8b62-10f59b229b96
22,Mariposa County,22000,Mariposa County,06043,County,Mariposa County,277286,MPA,,,Mariposa,,1461.92741337038,92f8aee0-95df-4993-94cc-f182119242d2
23,Mendocino County,23000,Mendocino County,06045,County,Mendocino County,277287,MEN,,,Mendocino,,3513.10545354768,1ba746a6-afdd-4256-a0fc-aff275363edb
24,Merced County,24000,Merced County,06047,County,Merced County,277288,MER,,,Merced,,1977.60293852998,ce420df3-031b-4e04-9f58-e748fb21a60c
25,Modoc County,25000,Modoc County,06049,County,Modoc County,277289,MOD,,,Modoc,,4202.6753485479,d66d52bd-0f57-40ed-a5a0-08161c9df4ca
26,Mono County,26000,Mono County,06051,County,Mono County,277290,MNO,,,Mono,,3130.78935020609,1a374cf2-9acc-4bc4-a01b-b0dc65dfdabc
27,Monterey County,27000,Monterey County,06053,County,Monterey County,277291,MON,,,Monterey,,3313.96057292291,abc469d5-2f94-4819-bec5-a1895354b22f
28,Napa County,28000,Napa County,06055,County,Napa County,277292,NAP,,,Napa,,792.307801749261,c8a459e0-235b-48f0-9611-654a5974053d
29,Nevada County,29000,Nevada County,06057,County,Nevada County,1682927,NEV,,,Nevada,,974.896405574666,3855d3db-d033-4c55-9b57-3f5dcfebf18b
30,Orange County,30000,Orange County,06059,County,Orange County,277294,ORA,,,Orange,,799.04779432302,3b03bd93-243a-4a06-9019-2b9e324baf7f
31,Placer County,31000,Placer County,06061,County,Placer County,277295,PLA,,,Placer,,1499.93583689943,38d96394-3308-46d1-a17b-de5bc989dbac
32,Plumas County,32000,Plumas County,06063,County,Plumas County,277296,PLU,,,Plumas,,2613.53883099344,e1caa673-308b-4499-ad86-9b7a873680c6
33,Riverside County,33000,Riverside County,06065,County,Riverside County,277297,RIV,,,Riverside,,7301.84819505707,a2bd1588-bff9-4cce-b699-9bfb25013171
34,Sacramento County,34000,Sacramento County,06067,County,Sacramento County,277298,SAC,,,Sacramento,,993.692589943212,0d17bbe1-d3ec-4fad-b747-facd187eab61
35,San Benito County,35000,San Benito County,06069,County,San Benito County,277299,SBT,,,San Benito,,1389.76857863584,b112343b-4aa5-4c56-b0c4-de67ada19208
