OBJECTID,COUNTY,CITY,COPRI,created_user,created_date,last_edited_user,last_edited_date,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length
1,Alameda County,Alameda,01021,,,,,,,,,94284098.5664063,45783.0846462402
2,Alameda County,Albany,01022,,,,,,,,,21147281.1835938,25304.5078090253
3,Alameda County,Berkeley,01013,,,,,,,,,74801432.5703125,47159.6643459652
4,Alameda County,Dublin,01026,,,,,,,,,63080316.8398438,47361.6467565124
5,Alameda County,Emeryville,01014,,,,,,,,,9393600.17578125,16246.1941916231
6,Alameda County,Fremont,01012,,,,,,,,,364464138.742188,143163.252535402
7,Alameda County,Hayward,01025,,,,,,,,,2967.9453125,216.909704996612
8,Alameda County,Hayward,01025,,,,,,,,,261764454.226563,159033.594130923
9,Alameda County,Livermore,01016,,,,,,,,,110696652.847656,105695.624788668
10,Alameda County,Newark,01011,,,,,,,,,57937430.296875,38383.1810593
11,Alameda County,Oakland,01017,,,,,,,,,323076290,155074.895435202
12,Alameda County,Piedmont,01018,,,,,,,,,7101420.18359375,11465.0404806819
13,Alameda County,Pleasanton,01019,,,,,,,,,100534946.566406,99392.1383312257
14,Alameda County,San Leandro,01010,,,,,,,,,63946368.4335938,41903.8204239417
15,Alameda County,Unincorporated,01000,,,,,,,,,7438268.8203125,22889.6357362006
16,Alameda County,Unincorporated,01000,,,,,,,,,1412452.4375,6640.86967181561
17,Alameda County,Unincorporated,01000,,,,,,,,,157486.62109375,1869.27686419212
18,Alameda County,Unincorporated,01000,,,,,,,,,968594.828125,5936.25610310057
19,Alameda County,Unincorporated,01000,,,,,,,,,19724164.5195313,29513.554234836
20,Alameda County,Unincorporated,01000,,,,,,,,,136641.37890625,1480.58206756139
21,Alameda County,Unincorporated,01000,,,,,,,,,1429928561.17578,332717.252871665
22,Alameda County,Unincorporated,01000,,,,,,,,,299780135.371094,147990.245029289
23,Alameda County,Union City,01015,,,,,,,,,80132612.2929688,71513.1283085043
24,Alpine County,Unincorporated,02000,,,,,,,,,3156930537.51953,276002.710645789
25,Amador County,Amador City,03001,,,,,,,,,1307519.37109375,4618.24364815908
26,Amador County,Ione,03005,,,,,,,,,19503032.6992188,29141.5562011885
27,Amador County,Jackson,03002,,,,,,,,,15158806.4375,33586.3702421609
28,Amador County,Plymouth,03003,,,,,,,,,705.1796875,107.439700142318
29,Amador County,Plymouth,03003,,,,,,,,,11258927.1992188,30621.9136529161
30,Amador County,Sutter Creek,03004,,,,,,,,,11336991.2695313,32078.532409601
31,Amador County,Unincorporated,03000,,,,,,,,,5863.6875,543.370073265148
32,Amador County,Unincorporated,03000,,,,,,,,,2504240222.35938,491352.980223649
33,Butte County,Biggs,04001,,,,,,,,,4415189.75,17791.8720100524
34,Butte County,Chico,04002,,,,,,,,,861404.6640625,4437.83365454543
35,Butte County,Chico,04002,,,,,,,,,151549119.183502,125386.474483521
36,Butte County,Gridley,04003,,,,,,,,,245789.76953125,2525.98033909886
37,Butte County,Gridley,04003,,,,,,,,,480066.22265625,3140.03948417649
38,Butte County,Gridley,04003,,,,,,,,,9612818.3984375,21730.6437240483
39,Butte County,Oroville,04004,,,,,,,,,16366.09375,694.79054158355
40,Butte County,Oroville,04004,,,,,,,,,60862813.40625,92116.152646819
41,Butte County,Paradise,04005,,,,,,,,,79149910.234375,41387.3541352109
42,Butte County,Unincorporated,04000,,,,,,,,,376934.28125,2668.50774049358
43,Butte County,Unincorporated,04000,,,,,,,,,591232.0078125,4761.34817196558
44,Butte County,Unincorporated,04000,,,,,,,,,7720.65234375,368.034787737607
45,Butte County,Unincorporated,04000,,,,,,,,,7034040185.59773,816632.91438054
46,Butte County,Unincorporated,04000,,,,,,,,,568235.81640625,3757.76606454963
47,Butte County,Unincorporated,04000,,,,,,,,,16939.203125,641.784102954831
48,Butte County,Unincorporated,04000,,,,,,,,,46691.13671875,874.703206368534
49,Butte County,Unincorporated,04000,,,,,,,,,37125.4140625,892.789557236788
50,Butte County,Unincorporated,04000,,,,,,,,,167969.88671875,2582.30753657389
51,Calaveras County,Angels,05001,,,,,,,,,14896412.1015625,30624.9115064739
52,Calaveras County,Unincorporated,05000,,,,,,,,,4335585143.26953,400705.841229078
53,Colusa County,Colusa,06001,,,,,,,,,565051.73046875,3215.10224987005
54,Colusa County,Colusa,06001,,,,,,,,,17876712.5234375,47394.4903534282
55,Colusa County,Unincorporated,06000,,,,,,,,,4952141835.24609,467475.712482085
56,Colusa County,Williams,06002,,,,,,,,,21818457.6445313,31341.423483617
57,Contra Costa County,Antioch,07001,,,,,,,,,125001298.425781,74794.0543121419
58,Contra Costa County,Brentwood,07010,,,,,,,,,61996514.9179688,55360.886312729
59,Contra Costa County,Clayton,07013,,,,,,,,,15977065.1640625,21781.2730788148
60,Contra Costa County,Concord,07002,,,,,,,,,127542580.8125,73076.0675785104
61,Contra Costa County,Danville,07016,,,,,,,,,75152105.1171875,59623.1293538504
62,Contra Costa County,El Cerrito,07003,,,,,,,,,15364956.7070313,20531.344024452
63,Contra Costa County,Hercules,07004,,,,,,,,,80154850.5117188,54009.0112311514
64,Contra Costa County,Lafayette,07014,,,,,,,,,63277470.5742188,55400.7787037551
65,Contra Costa County,Martinez,07005,,,,,,,,,54149.07421875,1022.05396674879
66,Contra Costa County,Martinez,07005,,,,,,,,,57820617.4492188,73868.8475491708
67,Contra Costa County,Moraga,07015,,,,,,,,,39423773.5351563,39302.4246188174
68,Contra Costa County,Oakley,07019,,,,,,,,,67575433.5117188,48896.3260662167
69,Contra Costa County,Orinda,07018,,,,,,,,,53571792.8828125,48201.5530734429
70,Contra Costa County,Pinole,07006,,,,,,,,,48507058.078125,54971.8605559848
71,Contra Costa County,Pittsburg,07007,,,,,,,,,86365561.0330963,69847.539813476
72,Contra Costa County,Pleasant Hill,07012,,,,,,,,,29528836.3828125,41265.9437880572
73,Contra Costa County,Richmond,07008,,,,,,,,,52743.31640625,930.109644091811
74,Contra Costa County,Richmond,07008,,,,,,,,,219209515.894531,169644.306468639
75,Contra Costa County,San Pablo,07011,,,,,,,,,10874264.3710938,20726.5966825218
76,Contra Costa County,San Ramon,07017,,,,,,,,,83444034.3515625,53394.2858832826
77,Contra Costa County,Unincorporated,07000,,,,,,,,,20374790.7578125,25804.771865247
78,Contra Costa County,Unincorporated,07000,,,,,,,,,4379561.92578125,12846.9873263684
79,Contra Costa County,Unincorporated,07000,,,,,,,,,349959.44921875,2961.28118567954
80,Contra Costa County,Unincorporated,07000,,,,,,,,,5405100.69140625,17142.7371297442
81,Contra Costa County,Unincorporated,07000,,,,,,,,,1795115.94140625,10691.1032293017
82,Contra Costa County,Unincorporated,07000,,,,,,,,,1236967.42578125,6120.94878870907
83,Contra Costa County,Unincorporated,07000,,,,,,,,,67981.8828125,1310.05639360807
84,Contra Costa County,Unincorporated,07000,,,,,,,,,2814202.81640625,13089.254762603
85,Contra Costa County,Unincorporated,07000,,,,,,,,,2420476.1484375,8962.60138983923
86,Contra Costa County,Unincorporated,07000,,,,,,,,,629125.7421875,4550.27975143418
87,Contra Costa County,Unincorporated,07000,,,,,,,,,1137889.9296875,8085.49348828671
88,Contra Costa County,Unincorporated,07000,,,,,,,,,32936.41796875,764.232998099819
89,Contra Costa County,Unincorporated,07000,,,,,,,,,863632.03125,6150.15103000102
90,Contra Costa County,Unincorporated,07000,,,,,,,,,240948.296875,5579.79418786228
91,Contra Costa County,Unincorporated,07000,,,,,,,,,646250.0859375,3582.11097637312
92,Contra Costa County,Unincorporated,07000,,,,,,,,,474710.22265625,2829.78609709185
93,Contra Costa County,Unincorporated,07000,,,,,,,,,5731601.9765625,13917.6155082646
